Taxon,Taxonomic.status,Taxon.update,Taxon.notes,LA,leafC,leafN.mg.g,height,rootC,rootN.mg.g,seed.dry.mass,SLA,leaf.thickness,root.depth,RTD,fineRTD,LDMC,SRL,fineSRL,rootDiam,Fine.root.C.N.ratio,Root.Shoot.Ratio,Notes,Notes.2,,,
BUGLOSSOIDES ARVENSIS,Accepted,BUGLOSSOIDES ARVENSIS,,,,,0.2183,,,5.867777778,17.93814433,0.1786,,,,,,,,,,,,,,
CALADENIA CARNEA,Accepted,CALADENIA CARNEA,,158.80898,,,0.135,,,,20.36104461,,,,,,,,,,,,,,,
CALADENIA TENTACULATA,Accepted,CALADENIA TENTACULATA,,,,,,,,,,,,,,,,,,,,,,,,
CALAMAGROSTIS EPIGEIOS,NA,,synonym: Calamagrostis epigejos,,,,,,6.6,,,,,,,,57.46375,,,,,"RootN, SRL from groot",,,,
CALAMOVILFA LONGIFOLIA,Accepted,CALAMOVILFA LONGIFOLIA,,933.7365625,462.51125,13.59,1.3716,,5.2246,1.36645721,10.96892152,,0.508,0.18,,,33,,0.48,,,"RootN, Diam, RTD, SRL from groot",,,,
CALANDRINIA BALONENSIS,Accepted,CALANDRINIA BALONENSIS,,,,,,,,,,,,,,,,,,,,,,,,
CALCEOLARIA UNIFLORA,Accepted,CALCEOLARIA UNIFLORA,,,,,,,,,,,,,,,,,,,,,,,,
CALLUNA VULGARIS,Accepted,CALLUNA VULGARIS,,0.9735,527.1727778,13.57486595,0.555785714,528.6666667,4.11401,0.031883333,14.28693018,0.326296296,0.3,1.194550386,,0.34648674,13.62532988,,0.2553,,,"RootC, depth, RTD, SRL, diam from groot",,,,
CALOTIS HISPIDULA,Accepted,CALOTIS HISPIDULA,,61.00506333,,,0.103333333,,,2.290166667,11.56636819,,,,,,,,,,,,,,,
CALOTIS LAPPULACEA,Accepted,CALOTIS LAPPULACEA,,67,,,0.5,,,,15.76,,,,,,,,,,,,,,,
CALYLOPHUS SERRULATUS,Unresolved,,synonym: Oenothera serrulata ,,,,,,,,,,,,,,,,,,,,,,,
CALYTRIX TETRAGONA,Accepted,CALYTRIX TETRAGONA,,,,9.5,,,,1.65,,,,,,,,,,,,,,,,
CAMASSIA QUAMASH,Accepted,CAMASSIA QUAMASH,,,,,0.70104,,,4.15782155,,,0.254,,,,,,,,,,,,,
CAMISSONIA PALMERI,Accepted,CAMISSONIA PALMERI,,,,,,,,0.15675,,,,,,,,,,,,,,,,
CAMPANULA PATULA,Accepted,CAMPANULA PATULA,,,,,0.4375,423.5626783,14.26593954,0.023595,33.98333333,,,0.0375,,,929.9184754,,0.265133333,,,"rootC and N, RTD, SRL, diam from groot",,,,
CAMPANULA ROTUNDIFOLIA,Accepted,CAMPANULA ROTUNDIFOLIA,,73.39830818,,21.08333333,0.34,422.7817307,13.14618087,0.062491111,22.94812699,0.176,,0.146551312,,0.274815946,475.6578007,,0.141566667,,3.481,"rootC and N, RTD, SRL, diam from groot",,,,
CARDIONEMA RAMOSISSIMUM,Accepted,CARDIONEMA RAMOSISSIMUM,,,,,,,,,,,,,,,,,,,,,,,,
CARDUUS PYCNOCEPHALUS,Accepted,CARDUUS PYCNOCEPHALUS,,7.68935,,8.2,,,,4.4605,38,0.37675,,,,,,,,,,"LA, thick from Justin",,,,
CAREX ANDINA,Accepted,CAREX ANDINA,,,,,,,,,,0.515,,,,,,,,,,,,,,
CAREX ARENARIA,Accepted,CAREX ARENARIA,,782.81,,19.12604168,0.384259259,,,0.942133333,14.42164292,,,,,0.346,,,,,,,,,,
CAREX BINERVIS,Accepted,CAREX BINERVIS,,,,,1,,,1.509085714,10.6,,,,,,,,,,,,,,,
CAREX BONARIENSIS,Accepted,CAREX BONARIENSIS,,,,,,,,,,,,,,,,,,,,,,,,
CAREX BREVICULMIS,Accepted,CAREX BREVICULMIS,,48.29506,,,0.05,,,,14.60009466,,,,,,,,,,,,,,,
CAREX BREVIOR,Accepted,CAREX BREVIOR,,,,,0.254,,,0.89,21.15675902,,,,,0.336249527,,,,,,,,,,
CAREX CARYOPHYLLEA,Accepted,CAREX CARYOPHYLLEA,,387.5,,18,0.223333333,,,1.16024,18.76023077,,,,,0.31,,,0.0784,,0.716,diam from groot,,,,
CAREX CURVULA,Accepted,CAREX CURVULA,,,,,,,,2.08,9.999104145,,,,,,,,,,,,,,,
CAREX DISTACHYA,Accepted,CAREX DISTACHYA,,,,,,,,,,,,,,,,,,,,,,,,
CAREX ECHINATA,Accepted,CAREX ECHINATA,,218,,,0.33305,,,1.128695833,15.53,,0.2032,,,0.369441578,,,,,,,,,,
CAREX FILIFOLIA,Accepted,CAREX FILIFOLIA,,,,,0.33528,,,2.9,,0.2,0.254,0.510912698,,,107.557439,,0.181971429,,,"diam, RTD, SRL from groot",,,,
CAREX FLACCA,Accepted,CAREX FLACCA,,604.82,,17.07498081,0.37125,451.1,4.956666667,0.907915278,14.4018786,,,0.169025277,,0.33475,218.7926062,,0.380313725,,1.093116308,"diam, RTD, SRL, rootC and N from groot",,,,
CAREX HEBES,Accepted,CAREX HEBES,,,,,,,,,,,,,,,,,,,,,,,,
CAREX INOPS,Accepted,CAREX INOPS,,,,,,,,,,,,,,,,,,,,,,,,
CAREX LIPAROCARPOS,Accepted,CAREX LIPAROCARPOS,,,432.6633333,20.95166667,,,,3.257,25.83979328,,,,,,,,,,,,,,,
CAREX MEADII,Accepted,CAREX MEADII,,,,,0.2292,,,3.0375,12.74334258,,,,,0.443826127,,,,,,,,,,
CAREX MIYABEI,Accepted,CAREX MIYABEI,,,,,,,,,,,,,,,,,,,,,,,,
CAREX NIGRA,Accepted,CAREX NIGRA,,159.1766667,461.6261691,24.40009307,0.388666667,477.1694485,6.648625922,0.746409524,20.83559904,0.1935,,,,0.338250914,,,0.2421,,,,,,,
CAREX PANICEA,Accepted,CAREX PANICEA,,611,,16.1715862,0.31,,,2.369626667,17.69830765,,,,,0.389868,9.14,,,,,"diam, SRL, RootC and N from groot",,,,
CAREX PHALAROIDES,Accepted,CAREX PHALAROIDES,,,,,0.21,,,,,,,,,,,,,,,,,,,
CAREX PILULIFERA,Accepted,CAREX PILULIFERA,,510.825,,27.98325592,0.225625,,,1.042183297,19.13235729,,,,,0.318184,,,,,,,,,,
CAREX SORORIA,Accepted,CAREX SORORIA,,,,,,,,,,,,,,,,,,,,,,,,
CARLINA VULGARIS,Accepted,CARLINA VULGARIS,,665.2333333,,15.78260486,0.385,,,1.423285714,22.08870347,,,0.082888022,,0.097973333,322.3538749,,0.246275926,,,"diam, RTD, SRL from groot",,,,
CARPHEPHORUS BELLIDIFOLIUS,Accepted,CARPHEPHORUS BELLIDIFOLIUS,,,,,,,,,,,,,,,,,,,,,,,,
CELMISIA COSTINIANA,Accepted,CELMISIA COSTINIANA,,,,,,,,2.977,,,,,,,,,,,,,,,,
CENCHRUS CILIARIS,Accepted,CENCHRUS CILIARIS,,,,18.5,0.9144,479.3,6.5,1.262496311,,,0.508,,,,,,,,,RootC and N from groot,,,,
CENTAUREA ARENARIA,Accepted,CENTAUREA ARENARIA,,,,,,,,,,,,,,,,,,,,,,,,
CENTAUREA HYSSOPIFOLIA,Accepted,CENTAUREA HYSSOPIFOLIA,,,,,,,,,,,,,,,,,,,,,,,,
CENTAUREA JACEA,Accepted,CENTAUREA JACEA,,,435.6,25.06160617,0.8275,390.7285086,11.34202,1.478422222,21.9478316,,0.155,0.133545753,,0.219053333,116.6184597,,0.328737037,,,"RootC, Diam,depth,RTD, SRL from groot",,,,
CENTAUREA MELITENSIS,Accepted,CENTAUREA MELITENSIS,,167,,,1,,,1.407,9.4,,,,,,,,,,,,,,,
CENTAUREA SCABIOSA,Accepted,CENTAUREA SCABIOSA,,4352,,22.3,0.9625,,,6.543224242,16.2315625,,,,,0.197,,,,,,,,,,
CENTIPEDA CUNNINGHAMII,Accepted,CENTIPEDA CUNNINGHAMII,,13,,,0.2,,,0.0416,18.1,,,,,,,,,,,,,,,
Centrolepis ARISTATA,Accepted,Centrolepis ARISTATA,,,,,,,,,,,,,,,,,,,,,,,,
Centrolepis POLYGYNA,Accepted,Centrolepis POLYGYNA,,,,,,,,,,,,,,,,,,,,,,,,
Centrolepis STRIGOSA,Accepted,Centrolepis STRIGOSA,,,,,,,,,,,,,,,,,,,,,,,,
CENTROSTEGIA THURBERI,Accepted,CENTROSTEGIA THURBERI,,,,,,,,,,,,,,,,,,,,,,,,
CEPHALARIA PUNGENS,Accepted,CEPHALARIA PUNGENS,,,,,,,,,,,,,,,,,,,,,,,,
CEPHALIPTERUM DRUMMONDII,Accepted,CEPHALIPTERUM DRUMMONDII,,,,,,,,7.22,,,,,,,,,,,,,,,,
CERASTIUM ARVENSE,Accepted,CERASTIUM ARVENSE,,,,,0.188888889,,,0.206783333,21.10181624,,,0.486326636,,0.24209686,91.58154988,,0.188766667,,,"diam, RTD, SRL from groot",,,,
CERASTIUM FONTANUM,Accepted,CERASTIUM FONTANUM,,182.59075,437.38,24.9755,0.218333333,418.6465169,8.721238939,0.138767778,25.83139407,0.225,,0.133299797,,0.13025,101.6244572,,0.282,,0.125,"diam, RTD, SRL, rootC and N from groot",,,,
CERASTIUM GLOMERATUM,Accepted,CERASTIUM GLOMERATUM,,176.6666667,,,0.249,,14.7,0.049536,23.38503171,0.226,,,,0.159498889,318,,,,,"rootN, SRL from groot",,,,
CERATOCEPHALA TESTICULATA,Accepted,CERATOCEPHALA TESTICULATA,,,,,,,,,,,,,,,,,,,,,,,,
CHAENACTIS FREMONTII,Accepted,CHAENACTIS FREMONTII,,,,11,,,3.35,1.0225,,,,,,,,,,,,,,,,
CHAENACTIS STEVIOIDES,Accepted,CHAENACTIS STEVIOIDES,,,,,,,,0.432,,,,,,,,,,,,,,,,
CHAEROPHYLLUM ERIOPODUM,Unresolved,,synonym: Oreomyrrhis eriopoda,,,,,,,2.275,,,,,,,,,,,,,,,,
CHAETACANTHUS BURCHELLII,Accepted,CHAETACANTHUS BURCHELLII,,,,,,,,,,,,,,,,,,,,,,,,
CHAMAECRISTA FASCICULATA,Accepted,CHAMAECRISTA FASCICULATA,,,,,0.73152,,,7.835149263,,,0.3556,0.162591084,,,96.91819095,,0.2980125,,,"diam, RTD, SRL from groot",,,,
CHAMAECRISTA NICTITANS,Accepted,CHAMAECRISTA NICTITANS,,,,,,,,3.15,,,,,,,,,,,,,,,,
CHAMAECRISTA RAMOSA,Accepted,CHAMAECRISTA RAMOSA,,,,,,,,14.1,,,,,,,,,,,,,,,,
CHAMAESCILLA CORYMBOSA,Accepted,CHAMAESCILLA CORYMBOSA,,,,,,,,0.81,,,,,,,,,,,,,,,,
CHENOPODIUM ALBUM,Accepted,CHENOPODIUM ALBUM,,2390,,27.125,1.174877193,522.34,10.87,0.690957143,22.66936863,0.29575,,0.372010894,,0.177290291,215.0556376,,0.230308403,,,"rootC and N, RTD, SRL, diam from groot",,,,
CHENOPODIUM QUINOA,Accepted,CHENOPODIUM QUINOA,,,,,,,,1.966666667,,,,,,,,,,,,,,,,
CHLOROGALUM POMERIDIANUM,Accepted,CHLOROGALUM POMERIDIANUM,,,,,,,,9.28325,,,,,,,,,,,,,,,,
CHONDROSUM ERIOPODUM,Accepted,CHONDROSUM ERIOPODUM,,,,,,,,,18.54844313,,,191.3531338,1.45E-06,,,0.009077978,0.03,,,"SLA,RTD,fineRTD,SRL,diam fromFarkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,
CHONDROSUM GRACILE,Accepted,CHONDROSUM GRACILE,,,,,,,,,15.34680195,,,126.8856625,1.58E-06,,,0.008855239,0.036,,,"SLA,RTD,fineRTD,SRL,diam fromFarkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,
CHORIZANTHE BREVICORNU,Accepted,CHORIZANTHE BREVICORNU,,,,,,,,,,,,,,,,,,,,,,,,
CHORIZANTHE RIGIDA,Accepted,CHORIZANTHE RIGIDA,,,,,,,,,,,,,,,,,,,,,,,,
CHRYSOCEPHALUM APICULATUM,Accepted,CHRYSOCEPHALUM APICULATUM,,82.54415,,27.1,0.4,,,0.059416667,16.64122201,,,,,,,,,,,,,,,
CHRYSOPSIS MARIANA,Accepted,CHRYSOPSIS MARIANA,,,,,,,,0.74,,,,,,,,,,,,,,,,
CHRYSOTHAMNUS VISCIDIFLORUS,Accepted,CHRYSOTHAMNUS VISCIDIFLORUS,,,,,0.9144,,,0.802723619,,,0.3556,,,,,,,,,,,,,
CHYLISMIA CLAVIFORMIS,Accepted,CHYLISMIA CLAVIFORMIS,,,,,,,,0.132,,,,,,,,,,,,,,,,
CIRSIUM ARVENSE,Accepted,CIRSIUM ARVENSE,,3857.5,409.9085686,29.75611991,0.84284049,,15.2,1.417251496,16.60803212,0.460375,,,,0.151845444,64,,,,,RootN and SRL from Groot,,,,
CIRSIUM VULGARE,Accepted,CIRSIUM VULGARE,,7619.4625,,,1.175,,,2.684122222,14.23064781,0.492222222,,0.285613682,,0.146659167,131.2433191,,0.184,,,"RTD, SRL, Diam from groot",,,,
CISTUS ALBIDUS,Accepted,CISTUS ALBIDUS,,,,13.70833333,1,,,1.055,15.54983587,,,0.775024053,,0.37032,6.965677795,,0.4331,,,"RTD, SRL, Diam from groot",,,,
CISTUS CLUSII,Accepted,CISTUS CLUSII,,,,17.575,1,,,21.41,15.66073822,,,,,,,,,,,,,,,
CLAYTONIA PERFOLIATA,Accepted,CLAYTONIA PERFOLIATA,,385.5055333,,,0.222866667,,,0.6726489,52.4560081,,0.1524,,,0.060336111,,,,,,,,,,
CLINOPODIUM DARWINII,Accepted,CLINOPODIUM DARWINII,,,,,,,,,,,,,,,,,,,,,,,,
CLINOPODIUM VULGARE,Accepted,CLINOPODIUM VULGARE,,,,21.64,8.1,,9.27871,,26.03,,0.1524,,,,,,,,,"leafN, height, SLA from PI",rootN from groot,,,
COLLINSIA PARVIFLORA,Accepted,COLLINSIA PARVIFLORA,,,,,0.3048,,,1.555665286,,,,,,,,,,,,,,,,
COLLOMIA GRANDIFLORA,Accepted,COLLOMIA GRANDIFLORA,,,,,0.4,,,3.320333333,,,,,,,,,,,,,,,,
COLOBANTHUS LYCOPODOIDES,Accepted,COLOBANTHUS LYCOPODOIDES,,,,,,,,,,,,,,,,,,,,,,,,
COMANDRA UMBELLATA,Accepted,COMANDRA UMBELLATA,,111.4893294,424.0089333,21.0594,,,,89.122,18.08533756,,,0.334821433,,,31.36179282,,0.321385714,,,"RTD, SRL, Diam from groot",,,,
COMMELINA AFRICANA,Accepted,COMMELINA AFRICANA,,,,,,,,,,,,,,,,,,,,,,,,
COMMELINA CYANEA,Accepted,COMMELINA CYANEA,,,,,,,,,,,,,,,,,,,,,,,,
CONVOLVULUS ARVENSIS,Accepted,CONVOLVULUS ARVENSIS,,1032.9,,32.39,0.667433333,515.1387405,12.29355574,13.36784667,22.15968458,0.218,,,,0.1725,31.40811581,,,,0.322,leafN from PI,"rootC and N, SRL from groot",,,
CONYZA CANADENSIS,Accepted,CONYZA CANADENSIS,,660,,27.9,0.836805556,,,0.169654586,21.34368455,,0.1524,,,0.209242853,,,,46.4392949,0.104496629,,,,,
CONYZA SUMATRENSIS,Accepted,CONYZA SUMATRENSIS,,,,,,,,,,,,,,,,,,,,,,,,
CORDOBIA ARGENTEA,Accepted,CORDOBIA ARGENTEA,,,,,,,,,5.52599535,0.307293333,,,,,,,,,,,,,,
COREOPSIS PALMATA,Accepted,COREOPSIS PALMATA,,315.5671376,457.0478333,12.06502778,0.4485,,18.5591,1.989,18.06209157,,,0.1,,0.317151372,82.33333333,,0.33,,,"rootN, RTD, SRL, Diam from groot",,,,
COREOPSIS TINCTORIA,Accepted,COREOPSIS TINCTORIA,,,,,,521.1279297,12.72946239,,,,,,,,28.59341994,,,,,"RootC and N, SRL from groot",,,,
CORIS MONSPELIENSIS,Accepted,CORIS MONSPELIENSIS,,,,,,,,,,,,,,,,,,,,,,,,
CORNUS SUECICA,Accepted,CORNUS SUECICA,,293.1291667,460.8104651,19.69489943,0.171111111,465.550429,7.812801366,3.42,32.24866466,0.1685,,,,0.21195511,,,,59.58815631,,RootC and N from groot,,,,
COTTEA PAPPOPHOROIDES,Accepted,COTTEA PAPPOPHOROIDES,,,,,,,,,,,,,,,,,,,,,,,,
CRABBEA SQUARROSA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,
CRASPEDIA AURANTIA,Accepted,CRASPEDIA AURANTIA,,,,,,,,,,,,,,,,,,,,,,,,
CRASSULA CONNATA,Accepted,CRASSULA CONNATA,,,,,,,,0.014,,,,,,,,,,,,,,,,
CREPIS BIENNIS,Accepted,CREPIS BIENNIS,,6087.5,,18.28,0.8875,463.7649848,10.22761651,1.3464,31.23333333,,,0.113427835,,0.1325,154.7062535,,0.425214286,,,leafN from PI,"RootC and N, RTD, SRL, Diam from groot",,,
CREPIS CAPILLARIS,Accepted,CREPIS CAPILLARIS,,1585.666667,,,0.458333333,,10.7,0.221595083,35.00023666,0.196,,,,0.125666667,138,,,,,,RootN and SRL from groot,,,
CREPIS FOETIDA,Accepted,CREPIS FOETIDA,,,439,17.2,0.27525,,,0.788652,20.14985816,0.19666,,,,0.162,,,,,,,,,,
CREPIS TECTORUM,Accepted,CREPIS TECTORUM,,,,14.21254536,0.375675,,458.9,14.175,22.33002853,,,0.072,,0.15499587,296.13,,0.280689138,28.99155009,0.276734092,"RootC and N, RTD, SRL, Diam from groot",,,,
CROTALARIA MICROCARPA,Accepted,CROTALARIA MICROCARPA,,,,,,,,0.39,,,,,,,,,,,,,,,,
CROTON GLANDULOSUS,Accepted,CROTON GLANDULOSUS,,,,,,,,8.1,,,,,,,,,,,,,,,,
CROTON LINDHEIMERIANUS,Accepted,CROTON LINDHEIMERIANUS,,,,,,,,,,,,,,,,,,,,,,,,
CROTON MONANTHOGYNUS,Accepted,CROTON MONANTHOGYNUS,,,,,,,,5.71,,,,,,,,,,,,,,,,
CROTON POTTSII,Accepted,CROTON POTTSII,,,,,,,,,,,1.593333333,,,,,,,,,depth from groot,,,,
CRUCIATA GLABRA,Accepted,CRUCIATA GLABRA,,,467.78,17.002,0.194,,,1.43,21.52069774,,,,,,,,,,,,,,,
CRYPTANTHA CIRCUMSCISSA,Accepted,CRYPTANTHA CIRCUMSCISSA,,,,,,,,,,,,,,,,,,,,,,,,
CRYPTANTHA INTERMEDIA,Accepted,CRYPTANTHA INTERMEDIA,,,,,,,,0.34025,,,,,,,,,,,,,,,,
CRYPTANTHA PTEROCARYA,Accepted,CRYPTANTHA PTEROCARYA,,,,,,,0.9,,,,,,,,,,,,,,,,,
CUCUMIS MYRIOCARPUS,Accepted,CUCUMIS MYRIOCARPUS,,,,,,,,6.92,,,,,,,,,,,,,,,,
CUPHEA FLAVA,Accepted,CUPHEA FLAVA,,,,,,,,,,,,,,,,,,,,,,,,
CUSCUTA PLANIFLORA,Accepted,CUSCUTA PLANIFLORA,,,,,,,,0.09,,,,,,,,,,,,,,,,
CYMBOPOGON CAESIUS,Accepted,CYMBOPOGON CAESIUS,,,,,,,,,,,,,,,,,,,,,,,,
CYMOPTERUS GLOMERATUS,Accepted,CYMOPTERUS GLOMERATUS,,,,,,,,3.02,,,,,,,,,,,,,,,,
CYNODON DACTYLON,Accepted,CYNODON DACTYLON,,119.9833333,,28.57367,0.235788519,,,0.205003118,25.22232,0.193083334,0.3556,,,0.224598333,,,,,,,,,,
CYNOSURUS CRISTATUS,Accepted,CYNOSURUS CRISTATUS,,353.156,,,0.588,,,0.527373148,25.76472222,,,,,0.250105714,,,,,,,,,,
CYNOSURUS ECHINATUS,Accepted,CYNOSURUS ECHINATUS,,,,,0.475,,,1.490333333,75.9,,,,,,,,,,,,,,,
CYPELLA HERBERTII,Accepted,CYPELLA HERBERTII,,,,,,,,,,,,,,,,,,,,,,,,
CYPERUS ERAGROSTIS,Accepted,CYPERUS ERAGROSTIS,,,,,,,,0.115666667,,,,,,,,,,,,,,,,
CYPERUS LUPULINUS,Accepted,CYPERUS LUPULINUS,,,,,,,,,,,,,,,,,,,,,,,,
CYPERUS REFLEXUS,Accepted,CYPERUS REFLEXUS,,,,,,,,0.02,11.65762839,0.396666667,,,,,,,,,,,,,,
CYPRIPEDIUM PARVIFLORUM,Accepted,CYPRIPEDIUM PARVIFLORUM,,,,,,,,,,,,,,,,,,,,,,,,
CYTISUS SCOPARIUS,Accepted,CYTISUS SCOPARIUS,,28.1413037,,31.01944444,1.7959,,,8.447442546,22.29605641,0.140737037,0.4064,,,0.225212487,,,,,,,,,,
DACTYLIS GLOMERATA,Accepted,DACTYLIS GLOMERATA,,951.1257079,433.6988474,25.72069341,0.671309259,412.6571429,10.15714286,0.920318657,26.04843708,0.120579048,0.3048,0.138583824,,0.240117842,304.2076965,,0.142857143,,,"RTD, SRL from groot",,,,
DACTYLORHIZA MACULATA,Accepted,DACTYLORHIZA MACULATA,,1420.8,,,0.6,,,,24.23285714,,,,,0.120096667,,,,,,,,,,
DALEA CANDIDA,Accepted,DALEA CANDIDA,,,,,0.46064,,18,1.537888889,10.76043991,,,0.11247663,,0.292063905,80.24918574,,0.309342857,,,"RTD, SRL, RootN,Diam from groot",,,,
DALEA ENNEANDRA,Accepted,DALEA ENNEANDRA,,,,,,,,,,,,,,,,,,,,,,,,
DALEA PURPUREA,Accepted,DALEA PURPUREA,,,,,0.5272,,13.9583,2.700333333,13.02080619,,1.525,0.174143261,,0.284704385,73.40507735,,0.341785714,,,"RootN, RTD, SRL, depth, diam from groot",,,,
DALEA SEARLSIAE,Accepted,DALEA SEARLSIAE,,,,,,,,2.92,,,,,,,,,,,,,,,,
DALEA VILLOSA,Accepted,DALEA VILLOSA,,,,,,,11.2,1.89,,,1.524,,,,40,,,,,"RootN, RTD, SRL, from groot",,,,
DANTHONIA CALIFORNICA,Accepted,DANTHONIA CALIFORNICA,,,,,0.6096,,,5.515737923,,,0.4064,,,,,,,,,,,,,
DANTHONIA DECUMBENS,Accepted,DANTHONIA DECUMBENS,,378,,16.5,0.35,,,1.435575,16.236,,,,,0.343988,,,,,,,,,,
DANTHONIA MONTEVIDENSIS,Accepted,DANTHONIA MONTEVIDENSIS,,,,,0.223648649,,,,,,,,,,,,,,,,,,,
DAPHNE LAUREOLA,Accepted,DAPHNE LAUREOLA,,1522.736667,,,0.9625,,,,9.236666667,,,,,0.27733,,,,,,,,,,
DAUCUS CAROTA,Accepted,DAUCUS CAROTA,,,430.2124732,23.75644602,0.487097662,388.294622,12.75277167,1.061872467,17.37707021,,,0.329231092,,0.293200904,244.5257138,,0.314314803,,,"RootC and N, RTD, SRL, Diam from groot",,,,
DAUCUS GLOCHIDIATUS,Accepted,DAUCUS GLOCHIDIATUS,,122.418125,,,0.19,,,1.67,24.46724868,,,,,,,,,,,,,,,
DELPHINIUM MENZIESII,Accepted,DELPHINIUM MENZIESII,,,,,,,,1.317,,,,,,,,,,,,,,,,
DESCHAMPSIA CESPITOSA,Accepted,DESCHAMPSIA CESPITOSA,,314.9073162,465.8274569,19.38145224,0.623466667,435.2656427,9.504294333,0.272182639,15.38069921,0.3725,,0.170736151,,0.337972358,364.9892355,,0.206048414,39.800586,,"RootC and N, RTD, SRL, Diam from groot",,,,
DESCHAMPSIA FLEXUOSA,Accepted,DESCHAMPSIA FLEXUOSA,,39.17993973,428.9047152,21.14852266,0.40801415,449.3048364,6.90123,0.529956048,17.19285365,0.335305556,0.2032,,,0.338814668,196.6766667,,,32.19400419,,"RootC, SRL, from groot",,,,
DESCURAINIA PINNATA,Accepted,DESCURAINIA PINNATA,,,,,,,,0.106357143,,,,,,,,,,,,,,,,
DESMANTHUS ACUMINATUS,Accepted,DESMANTHUS ACUMINATUS,,,,,,,,4.5,,,,,,,,,,,,,,,,
DESMANTHUS ILLINOENSIS,Accepted,DESMANTHUS ILLINOENSIS,,,,,0.9144,,,5.25080153,,,,0.3048,,,45.09036443,,,,,SRL from groot,,,,
DESMODIUM ILLINOENSE,Accepted,DESMODIUM ILLINOENSE,,,,,,,,,,,,,,,,,0.2997,,,Diam from groot,,,,
DESMODIUM ROTUNDIFOLIUM,Accepted,DESMODIUM ROTUNDIFOLIUM,,,,,,,,,,,,,,,,,,,,,,,,
DIANTHUS SEROTINUS,Accepted,DIANTHUS SEROTINUS,,,,,,,,,,,,,,,,,,,,,,,,
DICHANTHELIUM OLIGOSANTHES,Synonym,PANICUM OLIGOSANTHES,"synonym already list, at different sites",,,,,,,,,,,,,,,,,,,,,,,
DICHELACHNE CRINITA,Accepted,DICHELACHNE CRINITA,,,,,,,,0.39,,,,,,,,,,,,,,,,
DICHELOSTEMMA CAPITATUM,Accepted,DICHELOSTEMMA CAPITATUM,,,,,,,,,,,,,,,,,,,,,,,,
DICHOPOGON STRICTUS,Accepted,DICHOPOGON STRICTUS,,,,,,,,1.88,,,,,,,,,,,,,,,,
DIGITARIA CALIFORNICA,Accepted,DIGITARIA CALIFORNICA,,,,,1.2192,,,0.403998187,,,0.254,,,,,,,,,,,,,
DIGITARIA COGNATA,Accepted,DIGITARIA COGNATA,,354.1725,453.66,18.09515288,0.2115,,,0.55,30.42998108,,,,,,,,,74.75852252,0.616653509,,,,,
DIHETEROPOGON AMPLECTENS,Accepted,DIHETEROPOGON AMPLECTENS,,,,,,,,,,,,,,,,,,,,,,,,
DIODELLA APICULATA,Accepted,DIODELLA APICULATA,,,,,,,,,,,,,,,,,,,,,,,,
DIODIA TERES,Synonym,DIODELLA TERES,Synonym,,,,,,,,,,,,,,,,,,,,,,,
DIOSPYROS VIRGINIANA,Accepted,DIOSPYROS VIRGINIANA,,,,28.2,9.457333333,451.6514167,16.71939583,243.7733015,11.37839081,,0.9144,0.133833333,,0.373820786,22.87048611,,0.589423176,,,"RootC and N, RTD, SRL, Diam from groot",,,,
DIPCADI VIRIDE,Accepted,DIPCADI VIRIDE,,,,,,,,1.48,,,,,,,,,,,,,,,,
DIPLOTAXIS TENUIFOLIA,Accepted,DIPLOTAXIS TENUIFOLIA,,2296,,,0.575,,,0.301583333,22.45,,,,,0.113,,,,,,,,,,
DISTICHLIS distichophylla,Accepted,DISTICHLIS distichophylla,,,,,,,,,,,,,,,,,,,,,,,,
DODECATHEON HENDERSONII,Accepted,DODECATHEON HENDERSONII,,,,,,,,,,,,,,,,,,,,,,,,
DORYCNIUM PENTAPHYLLUM,Accepted,DORYCNIUM PENTAPHYLLUM,,,,,,,,,,,,0.56,,,3.83,,,,,"RTD, SRL from groot",,,,
DRABA VERNA,Synonym,EROPHILA VERNA,Synonym,,,,,,,,,,,,,,,,,,,,,,,
DROSERA ABERRANS,Accepted,DROSERA ABERRANS,,,,,,,,,,,,,,,,,,,,,,,,
DROSERA GLANDULIGERA,Accepted,DROSERA GLANDULIGERA,,,,,,,,,,,,,,,,,,,,,,,,
DROSERA HOOKERI,Accepted,DROSERA HOOKERI,,,,,,,,,,,,,,,,,,,,,,,,
ECHINOPS SPHAEROCEPHALUS,Accepted,ECHINOPS SPHAEROCEPHALUS,,,,,1.4375,,,14.24716667,,,,,,,,,,,,,,,,
ECHIUM VULGARE,Accepted,ECHIUM VULGARE,,4523,,23.6,0.716666667,,,2.910548718,14.45,,,,,0.142,,,,,,,,,,
EHRHARTA STIPOIDES,Accepted,EHRHARTA STIPOIDES,,,,,,,,5.6375,34.42882407,0.0875,,,,,,,,,,,,,,
ELEOCHARIS BONARIENSIS,Accepted,ELEOCHARIS BONARIENSIS,,,,,,,,,,,,,,,,,,,,,,,,
